score_ratio,subject,learning_goal,difficulty
0.5,Python,Academic Learning,Beginner
0.93,MySQL,Interview Preparation,Advanced
0.53,C,Competitive Programming,Intermediate
0.66,Java,Competitive Programming,Intermediate
0.93,C,Academic Learning,Advanced
0.4,React.js,Interview Preparation,Beginner
0.85,Java,Competitive Programming,Advanced
0.29,C,Academic Learning,Beginner
0.63,C++,Competitive Programming,Intermediate
0.44,Python,Interview Preparation,Beginner
0.93,C,Interview Preparation,Advanced
0.93,Java,Academic Learning,Advanced
0.91,C++,Competitive Programming,Advanced
0.91,Java,Interview Preparation,Advanced
0.3,C++,Interview Preparation,Beginner
0.28,C,Competitive Programming,Beginner
0.42,Python,Interview Preparation,Beginner
0.68,Python,Interview Preparation,Intermediate
0.74,C,Academic Learning,Intermediate
0.54,PHP,Competitive Programming,Intermediate
0.69,C++,Interview Preparation,Intermediate
0.28,Java,Academic Learning,Beginner
0.81,JavaScript,Competitive Programming,Advanced
0.73,Python,Competitive Programming,Intermediate
0.57,JavaScript,Competitive Programming,Intermediate
0.28,JavaScript,Interview Preparation,Beginner
0.65,C,Academic Learning,Intermediate
0.53,C++,Academic Learning,Intermediate
0.4,Python,Competitive Programming,Beginner
0.85,React.js,Competitive Programming,Advanced
0.82,C,Competitive Programming,Advanced
0.29,React.js,Academic Learning,Beginner
0.22,Python,Competitive Programming,Beginner
0.92,React.js,Competitive Programming,Advanced
0.34,PHP,Competitive Programming,Beginner
0.57,PHP,Competitive Programming,Intermediate
0.41,PHP,Academic Learning,Beginner
0.36,PHP,Competitive Programming,Beginner
0.9,MySQL,Interview Preparation,Advanced
0.55,C,Interview Preparation,Intermediate
0.52,PHP,Academic Learning,Intermediate
0.21,JavaScript,Academic Learning,Beginner
0.69,C,Interview Preparation,Intermediate
0.62,C,Competitive Programming,Intermediate
0.39,Python,Academic Learning,Beginner
0.91,JavaScript,Competitive Programming,Advanced
0.74,PHP,Competitive Programming,Intermediate
0.82,JavaScript,Competitive Programming,Advanced
0.6,PHP,Academic Learning,Intermediate
0.61,MySQL,Competitive Programming,Intermediate
0.66,C,Interview Preparation,Intermediate
0.33,React.js,Competitive Programming,Beginner
0.88,PHP,Academic Learning,Advanced
0.82,PHP,Academic Learning,Advanced
0.52,Java,Interview Preparation,Intermediate
0.59,Java,Interview Preparation,Intermediate
0.67,Python,Competitive Programming,Intermediate
0.23,Java,Academic Learning,Beginner
0.85,C,Competitive Programming,Advanced
0.63,React.js,Interview Preparation,Intermediate
0.85,PHP,Academic Learning,Advanced
0.94,Python,Interview Preparation,Advanced
0.48,C,Interview Preparation,Beginner
0.91,MySQL,Competitive Programming,Advanced
0.91,MySQL,Academic Learning,Advanced
0.29,MySQL,Academic Learning,Beginner
0.32,React.js,Academic Learning,Beginner
0.73,C,Interview Preparation,Intermediate
0.31,PHP,Academic Learning,Beginner
0.69,JavaScript,Interview Preparation,Intermediate
0.68,Java,Competitive Programming,Intermediate
0.23,PHP,Academic Learning,Beginner
0.8,MySQL,Interview Preparation,Intermediate
0.33,Python,Academic Learning,Beginner
0.64,React.js,Interview Preparation,Intermediate
0.81,C,Interview Preparation,Advanced
0.93,Java,Academic Learning,Advanced
0.69,React.js,Interview Preparation,Intermediate
0.4,Java,Academic Learning,Beginner
0.68,JavaScript,Academic Learning,Intermediate
0.75,React.js,Interview Preparation,Intermediate
0.86,PHP,Academic Learning,Advanced
0.49,Java,Competitive Programming,Beginner
0.76,MySQL,Academic Learning,Intermediate
0.91,C++,Competitive Programming,Advanced
0.7,C++,Academic Learning,Intermediate
0.63,C++,Competitive Programming,Intermediate
0.33,React.js,Academic Learning,Beginner
0.22,Python,Competitive Programming,Beginner
0.59,React.js,Interview Preparation,Intermediate
0.43,React.js,Academic Learning,Beginner
0.81,Python,Competitive Programming,Advanced
0.63,Java,Competitive Programming,Intermediate
0.22,React.js,Interview Preparation,Beginner
0.49,C,Interview Preparation,Beginner
0.41,Java,Interview Preparation,Beginner
0.88,C,Interview Preparation,Advanced
0.51,C++,Interview Preparation,Intermediate
0.54,C++,Competitive Programming,Intermediate
0.26,Python,Academic Learning,Beginner
0.25,React.js,Academic Learning,Beginner
0.65,JavaScript,Competitive Programming,Intermediate
0.55,C,Competitive Programming,Intermediate
0.82,C++,Interview Preparation,Advanced
0.73,React.js,Academic Learning,Intermediate
0.32,Python,Interview Preparation,Beginner
0.81,JavaScript,Interview Preparation,Advanced
0.39,MySQL,Academic Learning,Beginner
0.29,JavaScript,Academic Learning,Beginner
0.71,JavaScript,Interview Preparation,Intermediate
0.46,JavaScript,Competitive Programming,Beginner
0.69,PHP,Interview Preparation,Intermediate
0.65,PHP,Interview Preparation,Intermediate
0.76,Java,Academic Learning,Intermediate
0.76,C,Interview Preparation,Intermediate
0.27,React.js,Competitive Programming,Beginner
0.61,C++,Interview Preparation,Intermediate
0.7,PHP,Interview Preparation,Intermediate
0.44,Python,Academic Learning,Beginner
0.48,C++,Competitive Programming,Beginner
0.53,React.js,Competitive Programming,Intermediate
0.89,MySQL,Academic Learning,Advanced
0.4,Java,Competitive Programming,Beginner
0.58,C,Academic Learning,Intermediate
0.87,Python,Interview Preparation,Advanced
0.23,C++,Interview Preparation,Beginner
0.29,C,Academic Learning,Beginner
0.3,MySQL,Academic Learning,Beginner
0.39,React.js,Competitive Programming,Beginner
0.25,JavaScript,Academic Learning,Beginner
0.54,C++,Academic Learning,Intermediate
0.71,C++,Academic Learning,Intermediate
0.66,Java,Interview Preparation,Intermediate
0.89,React.js,Competitive Programming,Advanced
0.53,MySQL,Interview Preparation,Intermediate
0.58,React.js,Competitive Programming,Intermediate
0.86,Java,Competitive Programming,Advanced
0.4,Java,Competitive Programming,Beginner
0.56,Python,Academic Learning,Intermediate
0.91,PHP,Academic Learning,Advanced
0.22,C++,Competitive Programming,Beginner
0.79,JavaScript,Interview Preparation,Intermediate
0.51,C++,Competitive Programming,Intermediate
0.66,PHP,Interview Preparation,Intermediate
0.77,React.js,Competitive Programming,Intermediate
0.55,C,Academic Learning,Intermediate
0.75,C,Interview Preparation,Intermediate
0.55,Python,Interview Preparation,Intermediate
0.85,Java,Interview Preparation,Advanced
0.89,JavaScript,Academic Learning,Advanced
0.29,Python,Academic Learning,Beginner
0.33,C,Competitive Programming,Beginner
0.48,C++,Interview Preparation,Beginner
0.71,PHP,Competitive Programming,Intermediate
0.42,PHP,Interview Preparation,Beginner
0.22,C++,Academic Learning,Beginner
0.84,PHP,Academic Learning,Advanced
0.34,Python,Competitive Programming,Beginner
0.33,PHP,Competitive Programming,Beginner
0.78,PHP,Competitive Programming,Intermediate
0.78,PHP,Competitive Programming,Intermediate
0.54,React.js,Interview Preparation,Intermediate
0.78,React.js,Competitive Programming,Intermediate
0.52,React.js,Interview Preparation,Intermediate
0.78,C,Interview Preparation,Intermediate
0.71,Python,Academic Learning,Intermediate
0.45,PHP,Interview Preparation,Beginner
0.34,C,Academic Learning,Beginner
0.2,PHP,Academic Learning,Beginner
0.46,React.js,Academic Learning,Beginner
0.87,Java,Academic Learning,Advanced
0.83,C,Academic Learning,Advanced
0.67,C,Interview Preparation,Intermediate
0.56,C++,Competitive Programming,Intermediate
0.76,PHP,Competitive Programming,Intermediate
0.85,Python,Competitive Programming,Advanced
0.55,Java,Competitive Programming,Intermediate
0.94,Java,Competitive Programming,Advanced
0.22,JavaScript,Competitive Programming,Beginner
0.66,C++,Competitive Programming,Intermediate
0.35,MySQL,Academic Learning,Beginner
0.54,PHP,Academic Learning,Intermediate
0.53,MySQL,Competitive Programming,Intermediate
0.46,C++,Academic Learning,Beginner
0.5,C,Interview Preparation,Beginner
0.75,JavaScript,Interview Preparation,Intermediate
0.86,C,Interview Preparation,Advanced
0.31,Java,Competitive Programming,Beginner
0.65,JavaScript,Academic Learning,Intermediate
0.66,JavaScript,Competitive Programming,Intermediate
0.29,JavaScript,Academic Learning,Beginner
0.31,MySQL,Interview Preparation,Beginner
0.57,Java,Academic Learning,Intermediate
0.53,MySQL,Academic Learning,Intermediate
0.87,Python,Academic Learning,Advanced
0.54,C,Competitive Programming,Intermediate
0.23,JavaScript,Competitive Programming,Beginner
0.75,C++,Interview Preparation,Intermediate
0.65,Java,Competitive Programming,Intermediate
0.75,C,Academic Learning,Intermediate
0.39,React.js,Academic Learning,Beginner
0.46,React.js,Competitive Programming,Beginner
0.29,React.js,Competitive Programming,Beginner
0.67,PHP,Competitive Programming,Intermediate
0.78,Java,Competitive Programming,Intermediate
0.25,MySQL,Interview Preparation,Beginner
0.88,JavaScript,Academic Learning,Advanced
0.34,PHP,Interview Preparation,Beginner
0.29,Java,Competitive Programming,Beginner
0.78,Python,Academic Learning,Intermediate
0.32,JavaScript,Academic Learning,Beginner
0.51,JavaScript,Academic Learning,Intermediate
0.55,C,Academic Learning,Intermediate
0.73,C,Interview Preparation,Intermediate
0.22,MySQL,Academic Learning,Beginner
0.44,Java,Competitive Programming,Beginner
0.67,Python,Academic Learning,Intermediate
0.48,C,Competitive Programming,Beginner
0.83,Python,Competitive Programming,Advanced
0.91,C++,Interview Preparation,Advanced
0.36,MySQL,Interview Preparation,Beginner
0.23,Java,Competitive Programming,Beginner
0.44,React.js,Competitive Programming,Beginner
0.53,C++,Interview Preparation,Intermediate
0.2,JavaScript,Competitive Programming,Beginner
0.61,JavaScript,Competitive Programming,Intermediate
0.94,PHP,Competitive Programming,Advanced
0.23,C++,Interview Preparation,Beginner
0.8,React.js,Academic Learning,Intermediate
0.88,MySQL,Competitive Programming,Advanced
0.71,PHP,Competitive Programming,Intermediate
0.67,React.js,Competitive Programming,Intermediate
0.6,Java,Competitive Programming,Intermediate
0.61,React.js,Interview Preparation,Intermediate
0.47,PHP,Competitive Programming,Beginner
0.92,C,Competitive Programming,Advanced
0.75,JavaScript,Competitive Programming,Intermediate
0.3,Java,Interview Preparation,Beginner
0.94,JavaScript,Competitive Programming,Advanced
0.67,React.js,Interview Preparation,Intermediate
0.52,React.js,Competitive Programming,Intermediate
0.39,PHP,Interview Preparation,Beginner
0.81,MySQL,Competitive Programming,Advanced
0.26,MySQL,Academic Learning,Beginner
0.83,Java,Competitive Programming,Advanced
0.95,C++,Academic Learning,Advanced
0.74,Python,Academic Learning,Intermediate
0.25,React.js,Interview Preparation,Beginner
0.77,C++,Competitive Programming,Intermediate
0.49,JavaScript,Interview Preparation,Beginner
0.54,React.js,Interview Preparation,Intermediate
0.64,PHP,Interview Preparation,Intermediate
0.68,Java,Competitive Programming,Intermediate
0.71,React.js,Interview Preparation,Intermediate
0.46,Java,Competitive Programming,Beginner
0.54,PHP,Academic Learning,Intermediate
0.22,PHP,Competitive Programming,Beginner
0.4,React.js,Academic Learning,Beginner
0.37,C,Interview Preparation,Beginner
0.94,PHP,Interview Preparation,Advanced
0.34,PHP,Interview Preparation,Beginner
0.51,MySQL,Interview Preparation,Intermediate
0.53,Java,Interview Preparation,Intermediate
0.22,React.js,Interview Preparation,Beginner
0.61,MySQL,Academic Learning,Intermediate
0.87,C++,Academic Learning,Advanced
0.31,PHP,Interview Preparation,Beginner
0.49,MySQL,Interview Preparation,Beginner
0.8,JavaScript,Interview Preparation,Intermediate
0.6,C,Academic Learning,Intermediate
0.93,MySQL,Academic Learning,Advanced
0.86,PHP,Interview Preparation,Advanced
0.58,PHP,Competitive Programming,Intermediate
0.65,React.js,Competitive Programming,Intermediate
0.65,C,Interview Preparation,Intermediate
0.35,C,Interview Preparation,Beginner
0.58,C,Interview Preparation,Intermediate
0.23,Python,Competitive Programming,Beginner
0.37,React.js,Competitive Programming,Beginner
0.92,Python,Competitive Programming,Advanced
0.52,Java,Competitive Programming,Intermediate
0.34,C,Interview Preparation,Beginner
0.24,PHP,Competitive Programming,Beginner
0.84,C,Competitive Programming,Advanced
0.68,PHP,Academic Learning,Intermediate
0.24,PHP,Interview Preparation,Beginner
0.24,MySQL,Academic Learning,Beginner
0.81,C,Interview Preparation,Advanced
0.51,PHP,Academic Learning,Intermediate
0.23,C,Competitive Programming,Beginner
0.56,React.js,Competitive Programming,Intermediate
0.49,C++,Interview Preparation,Beginner
0.21,React.js,Academic Learning,Beginner
0.24,C++,Interview Preparation,Beginner
0.44,Python,Interview Preparation,Beginner
0.68,JavaScript,Interview Preparation,Intermediate
0.57,MySQL,Competitive Programming,Intermediate
0.45,MySQL,Competitive Programming,Beginner
0.22,Python,Interview Preparation,Beginner
0.36,React.js,Interview Preparation,Beginner
0.37,MySQL,Interview Preparation,Beginner
0.57,MySQL,Competitive Programming,Intermediate
0.81,C,Competitive Programming,Advanced
0.47,JavaScript,Interview Preparation,Beginner
0.86,Java,Interview Preparation,Advanced
0.82,Java,Academic Learning,Advanced
0.44,MySQL,Academic Learning,Beginner
0.7,JavaScript,Academic Learning,Intermediate
0.88,PHP,Interview Preparation,Advanced
0.84,Python,Academic Learning,Advanced
0.2,JavaScript,Interview Preparation,Beginner
0.38,React.js,Academic Learning,Beginner
0.71,C,Academic Learning,Intermediate
0.44,C,Interview Preparation,Beginner
0.64,C++,Academic Learning,Intermediate
0.23,PHP,Interview Preparation,Beginner
0.67,MySQL,Competitive Programming,Intermediate
0.46,JavaScript,Competitive Programming,Beginner
0.24,React.js,Academic Learning,Beginner
0.55,JavaScript,Competitive Programming,Intermediate
0.49,Java,Competitive Programming,Beginner
0.37,Python,Competitive Programming,Beginner
0.55,MySQL,Competitive Programming,Intermediate
0.87,PHP,Competitive Programming,Advanced
0.77,JavaScript,Academic Learning,Intermediate
0.44,JavaScript,Academic Learning,Beginner
0.6,MySQL,Interview Preparation,Intermediate
0.75,MySQL,Interview Preparation,Intermediate
0.43,PHP,Interview Preparation,Beginner
0.27,PHP,Academic Learning,Beginner
0.94,PHP,Academic Learning,Advanced
0.21,Java,Academic Learning,Beginner
0.58,MySQL,Competitive Programming,Intermediate
0.91,Python,Competitive Programming,Advanced
0.93,JavaScript,Academic Learning,Advanced
0.85,MySQL,Academic Learning,Advanced
0.92,MySQL,Competitive Programming,Advanced
0.52,Java,Academic Learning,Intermediate
0.58,PHP,Interview Preparation,Intermediate
0.21,C,Competitive Programming,Beginner
0.69,React.js,Academic Learning,Intermediate
0.44,C++,Interview Preparation,Beginner
0.76,C,Competitive Programming,Intermediate
0.44,Python,Competitive Programming,Beginner
0.94,PHP,Academic Learning,Advanced
0.61,Java,Competitive Programming,Intermediate
0.52,Java,Academic Learning,Intermediate
0.3,React.js,Competitive Programming,Beginner
0.41,MySQL,Academic Learning,Beginner
0.32,C++,Competitive Programming,Beginner
0.38,C,Interview Preparation,Beginner
0.73,C++,Interview Preparation,Intermediate
0.55,C++,Competitive Programming,Intermediate
0.71,Java,Interview Preparation,Intermediate
0.51,Java,Academic Learning,Intermediate
0.66,Java,Competitive Programming,Intermediate
0.26,PHP,Competitive Programming,Beginner
0.35,C,Academic Learning,Beginner
0.65,Python,Interview Preparation,Intermediate
0.49,MySQL,Competitive Programming,Beginner
0.71,PHP,Competitive Programming,Intermediate
0.51,Java,Interview Preparation,Intermediate
0.7,Python,Interview Preparation,Intermediate
0.88,C++,Academic Learning,Advanced
0.43,Python,Competitive Programming,Beginner
0.79,MySQL,Interview Preparation,Intermediate
0.67,Java,Interview Preparation,Intermediate
0.51,PHP,Interview Preparation,Intermediate
0.88,React.js,Academic Learning,Advanced
0.9,PHP,Academic Learning,Advanced
0.4,C++,Academic Learning,Beginner
0.76,PHP,Academic Learning,Intermediate
0.9,C++,Academic Learning,Advanced
0.37,Python,Academic Learning,Beginner
0.6,JavaScript,Interview Preparation,Intermediate
0.33,PHP,Interview Preparation,Beginner
0.88,Python,Academic Learning,Advanced
0.67,Java,Academic Learning,Intermediate
0.92,PHP,Academic Learning,Advanced
0.72,MySQL,Academic Learning,Intermediate
0.37,PHP,Competitive Programming,Beginner
0.27,React.js,Academic Learning,Beginner
0.33,JavaScript,Competitive Programming,Beginner
0.89,C++,Academic Learning,Advanced
0.55,Java,Competitive Programming,Intermediate
0.3,MySQL,Competitive Programming,Beginner
0.94,Python,Competitive Programming,Advanced
0.42,JavaScript,Competitive Programming,Beginner
0.65,Java,Interview Preparation,Intermediate
0.23,JavaScript,Academic Learning,Beginner
0.51,C,Competitive Programming,Intermediate
0.76,Java,Interview Preparation,Intermediate
0.56,C,Competitive Programming,Intermediate
0.85,React.js,Academic Learning,Advanced
0.85,React.js,Academic Learning,Advanced
0.6,PHP,Academic Learning,Intermediate
0.75,C,Interview Preparation,Intermediate
0.8,PHP,Academic Learning,Intermediate
0.95,React.js,Interview Preparation,Advanced
0.25,Python,Competitive Programming,Beginner
0.72,MySQL,Competitive Programming,Intermediate
0.85,C++,Academic Learning,Advanced
0.82,Java,Interview Preparation,Advanced
0.78,Java,Interview Preparation,Intermediate
0.56,JavaScript,Academic Learning,Intermediate
0.82,C++,Academic Learning,Advanced
0.33,Java,Interview Preparation,Beginner
0.52,C++,Academic Learning,Intermediate
0.56,Python,Academic Learning,Intermediate
0.89,MySQL,Academic Learning,Advanced
0.21,C++,Interview Preparation,Beginner
0.33,JavaScript,Competitive Programming,Beginner
0.85,React.js,Interview Preparation,Advanced
0.8,C,Competitive Programming,Intermediate
0.53,React.js,Competitive Programming,Intermediate
0.22,JavaScript,Interview Preparation,Beginner
0.82,C++,Academic Learning,Advanced
0.86,MySQL,Interview Preparation,Advanced
0.37,Python,Competitive Programming,Beginner
0.8,C,Academic Learning,Intermediate
0.29,C++,Academic Learning,Beginner
0.75,C++,Interview Preparation,Intermediate
0.33,PHP,Competitive Programming,Beginner
0.62,JavaScript,Academic Learning,Intermediate
0.71,MySQL,Interview Preparation,Intermediate
0.7,React.js,Competitive Programming,Intermediate
0.22,JavaScript,Interview Preparation,Beginner
0.81,Python,Competitive Programming,Advanced
0.52,JavaScript,Interview Preparation,Intermediate
0.44,Java,Academic Learning,Beginner
0.31,C,Competitive Programming,Beginner
0.25,React.js,Interview Preparation,Beginner
0.54,React.js,Competitive Programming,Intermediate
0.89,PHP,Competitive Programming,Advanced
0.68,PHP,Interview Preparation,Intermediate
0.6,Python,Competitive Programming,Intermediate
0.66,MySQL,Competitive Programming,Intermediate
0.89,Python,Competitive Programming,Advanced
0.63,Java,Competitive Programming,Intermediate
0.92,PHP,Competitive Programming,Advanced
0.77,React.js,Interview Preparation,Intermediate
0.86,React.js,Competitive Programming,Advanced
0.27,JavaScript,Academic Learning,Beginner
0.26,Python,Competitive Programming,Beginner
0.88,PHP,Competitive Programming,Advanced
0.79,React.js,Competitive Programming,Intermediate
0.58,C,Competitive Programming,Intermediate
0.61,PHP,Competitive Programming,Intermediate
0.87,Python,Academic Learning,Advanced
0.21,Java,Interview Preparation,Beginner
0.43,C++,Competitive Programming,Beginner
0.9,C,Competitive Programming,Advanced
0.59,PHP,Interview Preparation,Intermediate
0.43,React.js,Academic Learning,Beginner
0.57,Java,Academic Learning,Intermediate
0.4,Java,Interview Preparation,Beginner
0.5,Python,Academic Learning,Beginner
0.76,C,Interview Preparation,Intermediate
0.37,Python,Interview Preparation,Beginner
0.31,Java,Competitive Programming,Beginner
0.56,C,Interview Preparation,Intermediate
0.85,PHP,Academic Learning,Advanced
0.21,JavaScript,Interview Preparation,Beginner
0.35,C++,Academic Learning,Beginner
0.51,C,Competitive Programming,Intermediate
0.51,PHP,Competitive Programming,Intermediate
0.83,React.js,Academic Learning,Advanced
0.27,C,Interview Preparation,Beginner
0.6,PHP,Competitive Programming,Intermediate
0.73,C++,Competitive Programming,Intermediate
0.51,Java,Competitive Programming,Intermediate
0.77,PHP,Interview Preparation,Intermediate
0.53,JavaScript,Interview Preparation,Intermediate
0.86,MySQL,Interview Preparation,Advanced
0.87,C,Academic Learning,Advanced
0.95,React.js,Interview Preparation,Advanced
0.28,MySQL,Competitive Programming,Beginner
0.52,PHP,Academic Learning,Intermediate
0.81,Java,Competitive Programming,Advanced
0.61,PHP,Competitive Programming,Intermediate
0.77,Python,Competitive Programming,Intermediate
0.28,C,Academic Learning,Beginner
0.53,React.js,Academic Learning,Intermediate
0.9,C++,Interview Preparation,Advanced
0.62,MySQL,Interview Preparation,Intermediate
0.33,C++,Competitive Programming,Beginner
0.53,C,Competitive Programming,Intermediate
0.41,React.js,Academic Learning,Beginner
0.42,C,Interview Preparation,Beginner
0.35,C,Interview Preparation,Beginner
0.68,Python,Interview Preparation,Intermediate
0.72,JavaScript,Competitive Programming,Intermediate
0.78,C,Competitive Programming,Intermediate
0.26,Java,Interview Preparation,Beginner
0.52,Java,Interview Preparation,Intermediate
0.35,MySQL,Interview Preparation,Beginner
0.68,C,Competitive Programming,Intermediate
0.26,Java,Interview Preparation,Beginner
0.47,C++,Competitive Programming,Beginner
0.85,PHP,Competitive Programming,Advanced
0.88,React.js,Academic Learning,Advanced
0.61,Java,Competitive Programming,Intermediate
0.49,React.js,Interview Preparation,Beginner
0.39,Python,Academic Learning,Beginner
0.59,React.js,Academic Learning,Intermediate
0.74,React.js,Competitive Programming,Intermediate
0.9,PHP,Competitive Programming,Advanced
0.88,Java,Competitive Programming,Advanced
0.7,C++,Interview Preparation,Intermediate
0.43,C++,Competitive Programming,Beginner
0.51,Java,Competitive Programming,Intermediate
0.21,C++,Interview Preparation,Beginner
0.53,Python,Competitive Programming,Intermediate
0.22,PHP,Academic Learning,Beginner
0.76,JavaScript,Interview Preparation,Intermediate
0.47,Java,Academic Learning,Beginner
0.69,Python,Academic Learning,Intermediate
0.54,Python,Competitive Programming,Intermediate
0.44,Java,Academic Learning,Beginner
0.79,Python,Academic Learning,Intermediate
0.28,Python,Competitive Programming,Beginner
0.75,PHP,Academic Learning,Intermediate
0.45,Python,Competitive Programming,Beginner
0.45,MySQL,Academic Learning,Beginner
0.94,React.js,Interview Preparation,Advanced
0.41,MySQL,Competitive Programming,Beginner
0.39,React.js,Competitive Programming,Beginner
0.88,C++,Competitive Programming,Advanced
0.58,React.js,Academic Learning,Intermediate
0.73,PHP,Academic Learning,Intermediate
0.55,MySQL,Academic Learning,Intermediate
0.55,Python,Competitive Programming,Intermediate
0.74,Java,Competitive Programming,Intermediate
0.91,React.js,Interview Preparation,Advanced
0.49,Java,Competitive Programming,Beginner
0.63,Python,Interview Preparation,Intermediate
0.58,PHP,Academic Learning,Intermediate
0.46,JavaScript,Competitive Programming,Beginner
0.21,MySQL,Interview Preparation,Beginner
0.38,PHP,Academic Learning,Beginner
0.38,C,Interview Preparation,Beginner
0.22,JavaScript,Competitive Programming,Beginner
0.89,C++,Competitive Programming,Advanced
0.22,Java,Competitive Programming,Beginner
0.9,PHP,Interview Preparation,Advanced
0.51,JavaScript,Interview Preparation,Intermediate
0.4,React.js,Academic Learning,Beginner
0.26,C,Academic Learning,Beginner
0.59,JavaScript,Academic Learning,Intermediate
0.59,React.js,Academic Learning,Intermediate
0.56,Java,Academic Learning,Intermediate
0.88,Python,Interview Preparation,Advanced
0.82,Java,Competitive Programming,Advanced
0.55,PHP,Competitive Programming,Intermediate
0.35,Java,Academic Learning,Beginner
0.57,React.js,Academic Learning,Intermediate
0.61,C++,Academic Learning,Intermediate
0.25,MySQL,Interview Preparation,Beginner
0.36,React.js,Competitive Programming,Beginner
0.71,C,Competitive Programming,Intermediate
0.67,Java,Interview Preparation,Intermediate
0.42,MySQL,Interview Preparation,Beginner
0.69,Java,Interview Preparation,Intermediate
0.74,Java,Academic Learning,Intermediate
0.21,MySQL,Interview Preparation,Beginner
0.9,React.js,Competitive Programming,Advanced
0.32,PHP,Competitive Programming,Beginner
0.59,C++,Competitive Programming,Intermediate
0.44,React.js,Academic Learning,Beginner
0.93,Java,Academic Learning,Advanced
0.31,React.js,Interview Preparation,Beginner
0.44,Java,Competitive Programming,Beginner
0.48,JavaScript,Competitive Programming,Beginner
0.33,React.js,Competitive Programming,Beginner
0.65,JavaScript,Interview Preparation,Intermediate
0.38,React.js,Academic Learning,Beginner
0.57,PHP,Academic Learning,Intermediate
0.34,C,Academic Learning,Beginner
0.4,React.js,Academic Learning,Beginner
0.51,React.js,Interview Preparation,Intermediate
0.23,MySQL,Competitive Programming,Beginner
0.57,JavaScript,Competitive Programming,Intermediate
0.33,C++,Competitive Programming,Beginner
0.7,React.js,Competitive Programming,Intermediate
0.65,React.js,Interview Preparation,Intermediate
0.5,MySQL,Competitive Programming,Beginner
0.63,Java,Competitive Programming,Intermediate
0.93,Java,Interview Preparation,Advanced
0.35,React.js,Interview Preparation,Beginner
0.5,C,Academic Learning,Beginner
0.32,JavaScript,Interview Preparation,Beginner
0.36,JavaScript,Academic Learning,Beginner
0.4,C,Competitive Programming,Beginner
0.21,React.js,Interview Preparation,Beginner
0.49,MySQL,Interview Preparation,Beginner
0.87,C,Competitive Programming,Advanced
0.92,C,Competitive Programming,Advanced
0.64,C++,Competitive Programming,Intermediate
0.92,Python,Competitive Programming,Advanced
0.74,C,Competitive Programming,Intermediate
0.43,Python,Competitive Programming,Beginner
0.37,C++,Interview Preparation,Beginner
0.48,Python,Competitive Programming,Beginner
0.73,MySQL,Competitive Programming,Intermediate
0.49,JavaScript,Interview Preparation,Beginner
0.82,JavaScript,Interview Preparation,Advanced
0.36,C,Competitive Programming,Beginner
0.52,React.js,Competitive Programming,Intermediate
0.79,MySQL,Interview Preparation,Intermediate
0.61,MySQL,Academic Learning,Intermediate
0.44,Java,Competitive Programming,Beginner
0.81,Python,Interview Preparation,Advanced
0.59,MySQL,Competitive Programming,Intermediate
0.51,JavaScript,Interview Preparation,Intermediate
0.79,JavaScript,Academic Learning,Intermediate
0.59,C++,Academic Learning,Intermediate
0.59,PHP,Interview Preparation,Intermediate
0.37,PHP,Competitive Programming,Beginner
0.25,PHP,Academic Learning,Beginner
0.79,C++,Academic Learning,Intermediate
0.81,React.js,Interview Preparation,Advanced
0.79,Java,Academic Learning,Intermediate
0.37,Java,Interview Preparation,Beginner
0.67,React.js,Interview Preparation,Intermediate
0.75,PHP,Competitive Programming,Intermediate
0.49,Java,Interview Preparation,Beginner
0.21,Java,Academic Learning,Beginner
0.77,React.js,Interview Preparation,Intermediate
0.75,MySQL,Competitive Programming,Intermediate
0.41,MySQL,Interview Preparation,Beginner
0.78,JavaScript,Competitive Programming,Intermediate
0.82,React.js,Interview Preparation,Advanced
0.89,C++,Academic Learning,Advanced
0.73,JavaScript,Interview Preparation,Intermediate
0.24,C++,Interview Preparation,Beginner
0.93,Java,Competitive Programming,Advanced
0.94,PHP,Competitive Programming,Advanced
0.34,Python,Interview Preparation,Beginner
0.48,Java,Academic Learning,Beginner
0.5,Java,Academic Learning,Beginner
0.57,React.js,Academic Learning,Intermediate
0.36,C++,Interview Preparation,Beginner
0.47,Python,Competitive Programming,Beginner
0.69,MySQL,Competitive Programming,Intermediate
0.35,PHP,Academic Learning,Beginner
0.49,Java,Academic Learning,Beginner
0.78,Java,Academic Learning,Intermediate
0.25,JavaScript,Competitive Programming,Beginner
0.91,C,Academic Learning,Advanced
0.57,React.js,Academic Learning,Intermediate
0.61,Java,Interview Preparation,Intermediate
0.39,React.js,Competitive Programming,Beginner
0.87,React.js,Academic Learning,Advanced
0.79,JavaScript,Interview Preparation,Intermediate
0.83,PHP,Interview Preparation,Advanced
0.63,C++,Competitive Programming,Intermediate
0.8,MySQL,Competitive Programming,Intermediate
0.26,React.js,Academic Learning,Beginner
0.23,PHP,Interview Preparation,Beginner
0.62,MySQL,Competitive Programming,Intermediate
0.25,PHP,Academic Learning,Beginner
0.41,Python,Interview Preparation,Beginner
0.8,C,Academic Learning,Intermediate
0.63,PHP,Interview Preparation,Intermediate
0.23,PHP,Competitive Programming,Beginner
0.7,MySQL,Competitive Programming,Intermediate
0.93,JavaScript,Academic Learning,Advanced
0.56,Python,Interview Preparation,Intermediate
0.54,JavaScript,Interview Preparation,Intermediate
0.4,C++,Academic Learning,Beginner
0.24,Java,Interview Preparation,Beginner
